name,parkprop,parknumber,commboard,council,dimen,extant,Cost
Arsenal Landmark Plaque,Y,M010,7.0,6.0,"Plaque H: 1'3"" W: 1'11""; Medallion Diameter: 6""",Y,
Henry George,Y,M010,7.0,6.0,"Tablet H: 10"" W: 15""; Plinth H: 14"" W:19""",M,
Gus Campise,O,M010,7.0,6.0,"H: 15' W: 12""",Y,
Central Park Tablet,Y,M010,7.0,6.0,"H: 16 ½"" W: 18""",Y,
Urns - central park (4),Y,M010,7.0,6.0,"6'1""h",Y,
Olivia Hanson Marker,Y,R088,,,"Plaque H:8 1/2"" L:12""",Y,
The Rowers,Y,M010,7.0,6.0,"Group H: 9½"" W: 1'3½"" D: 9½""; Plinth H: 3' W: 2' D: 2'; Pedestal H: 9"" W:2' D: 2'",Y,
Otto Marx,Y,M010,7.0,6.0,"H: 9"" W: 14""",M,
spirit of progress,N,,4.0,17.0,,Y,
Emanuel Grant,Y,M010,7.0,6.0,"H: 8"" W: 10""",M,
richmond hill mansion,N,,2.0,3.0,,Y,
Rhesus and Ring-Tailed Lemurs,O,M010,7.0,6.0,,Y,
louis ix,N,,5.0,2.0,,Y,
"Vanderbilt, Mr. & Mrs. Tablet",Y,M010,7.0,6.0,"1'5""h x 2'6""w",Y,
"Ruth, Babe Plaza",N,,4.0,17.0,,Y,
Augustus Heckscher Gate Posts,Y,M010,7.0,6.0,,Y,
Daniel Webster,Y,M010,7.0,6.0,Figure H:14'; Pedestal H: 20'; Figure weighs 6 tons; Pedestal weighs 125 tons,Y,
Delacorte Theater Tablet,Y,M010,7.0,6.0,"H: 16"" W: 32 ½"" D: ¼""",M,
public school #23,N,,0.0,0.0,,Y,
public school #34,N,,0.0,0.0,,Y,
washington irving high school,N,,6.0,2.0,,Y,
Randolph Square Milestone,Y,M021,10.0,9.0,"W: 12"" D: 6"" H: 28""",S,
Stephen Sabatini Memorial,Y,X039,10.0,13.0,"Plaque L: 10"" W: 5 7/8""; base L: 1'2¾"" W: 10¼""; frame L: 1'6"" W: 1'1""",Y,
"woodhull, nathaniel",N,,1.0,2.0,"4'6""h x 5'w",Y,
"McCormack, Emmet j. (see shamrock iii)",N,,0.0,0.0,,Y,
Urns - central park (4),Y,M010,7.0,6.0,"6'1""h",Y,
One Hundred Seventh Infantry Memorial,Y,M010,7.0,6.0,"Group H: 9'11"" W: 15'8' D: 10'; Pedestal H: 7'7"" W: 32'8""",Y,50000.00
Greensward Plan,Y,M010,7.0,6.0,"H: 50 1/2"" W: 142 1/2"" (in frame); H: 43"" W: 132"" (no frame)",Y,
Zoo,Y,M010,7.0,6.0,"H: 1'1"" W: 1'4 ½""",Y,
Blockhouse,Y,M010,7.0,6.0,,N,$90
"Beisa, Eland Gnu",O,M010,7.0,6.0,,Y,
Mount Saint Vincent Plaque,Y,M010,7.0,6.0,"image part h 10"" x w 1'4""; text part h 3½"" x w 1'4""",Y,
Albert Bertel Thorvaldsen,Y,M010,7.0,6.0,"H: 14'11"" W: 5'3"" D: 4'2""",Y,
Fawn,O,X002,14.0,12.0,"H:34"" L: 30""",Y,1500.00
public service commission,N,,1.0,1.0,,Y,
Bernard M. Baruch Bench Plaque,Y,M010,7.0,6.0,"original plaque (and replacement tablet?) h 6½"" x w 1'1½""; platform h 8 7/8"" x w 1'4"" x d 2""",N,$35
Building Inspection,N,,1.0,1.0,,Y,
Queen Elizabeth II,N,,1.0,1.0,,Y,
unknown hero plaque,N,,1.0,1.0,,Y,
Hunts Point Memorial,Y,X009,2.0,17.0,,M,
McGown's Pass Cannons,Y,M010,7.0,6.0,"Cannon: L: 62"" W: 14.5"" Bore: 3.5"" Weight: 1120 lbs.; Carronade: L: 39"" W: 14.5"" Bore: 5.5"" Weight: 840 lbs. Plaque: 36"" x 13.25""",Y,
Pelham Parkway Fountain,Y,X003,11.0,13.0,,N,
Pinetum,Y,M010,7.0,6.0,"H: 10"" W: 14""",Y,
kings county hospital,N,,0.0,0.0,,Y,
u.s. custom house - monument list,N,,0.0,0.0,,Y,
guidance,N,,1.0,1.0,,Y,
Henrietta Szold,Y,M010,7.0,6.0,see memo,S,
Annie Poth,Y,M010,7.0,6.0,"Plaque H: 6"" W: 9 1/2""; Plinth H: 12"" W: 16"" D: 8""",M,
Knights of Pythias Memorial,Y,M010,7.0,6.0,"H: 42"" W: 48""",Y,
Liam O'Brien Memorial,Y,X039,10.0,13.0,"plaque l 10½"" x w 7½""; base  l 1'3 5/8"" x w 1'2½"" ; frame l 1'4 3/8"" x w 1'3¼""",Y,
Alexander Hamilton,N,,0.0,0.0,"6'6"" high",Y,
Washington High School,N,,12.0,10.0,,Y,
Citibank Fountain,Y,M010,7.0,6.0,H: 3' W: 4',M,
African Antelopes,O,M010,7.0,6.0,"Total H: 2'1"" W: 23'2"" (approximate)",Y,
Aristotle,Y,Q436,1.0,22.0,"Bust, H: 34"" W: 25"" D: 16; Sub-base, H: 3.5"" W: 15.25"" D: 12.75""; Pedestal, H: 5'",Y,
Pvt. Frederick Staats Memorial,Y,R010,2.0,50.0,"Plaque: H: 5"" W: 12""; Boulder: H: 4'7"" W: 2'5""",Y,
American Antelopes,O,M010,7.0,6.0,,Y,
Pilgrim,Y,M010,7.0,6.0,"Statue H: 9'; Pedestal H: 16'7 ½"" W: 5'10"" D: 5'10""",Y,
Carroll Park Comfort Station Tablet,Y,B019,6.0,39.0,"H: 20"" W: 37""",N,
Bedford & Division Sts Fountain,N,B115,1.0,33.0,,M,
Tompkinsville World War II Memorial,N,RZ133,1.0,49.0,"6'10""h x 6'2""w x 26""d",Y,
Rosedale Honor Roll,,B432,,,,,
Eagles,Y,M010,7.0,6.0,"H: 4'10"" W: 5'2"" D: 2'1""",Y,
Burnett Memorial Fountain,Y,M010,7.0,6.0,"Group H: 6'5"" W: 3'8"" D: 1' 11''; Pedestal H: 2'11"" W: 3'6"" D: 1' 11""",Y,
Bessie B. Wolbarst,Y,M010,7.0,6.0,"3 ½""h x 4 ¼""w",M,
Justice,N,,1.0,1.0,"figure h 7'10""; pedestal h 4' x w 3'7"" x d 5'7""",Y,
Peace Clock,Y,M203A,6.0,4.0,14' Diameter,Y,
Wien Walk Plaques,Y,M010,7.0,6.0,"H: 11"" W: 1'4""",Y,"approximately $1,000;"
The Arts,O,M008,5.0,3.0,,Y,
Private First Class Nicholas De Matti,Y,R035,1.0,49.0,,M,
New York City Building,Y,Q099,15.0,21.0,,S,
S. Rankin Drew Marker,Y,M010,7.0,6.0,,Y,
Wisteria Pergola,Y,M010,7.0,6.0,"8""h x 13""w",M,
"truax, charles henry",N,,1.0,1.0,,Y,
Anna Atkins Heckscher,Y,M010,7.0,6.0,"H: 12"" W: 18""",Y,
justice,N,,1.0,1.0,,Y,
William Church Osborn Gates,Y,M010,7.0,6.0,"Gates H: 6' W: 4'; Pylons H: 8'5"" W: 1'6"" D: 1'6""; Group H: 2'9""",Y,
Lewis H. Pounds,O,B010,9.0,35.0,,Y,
Colonel Frank H. Hines Memorial,Y,X026,3.0,16.0,"H: 15'1"" W: 3'8"" D: 3'8""",M,5000.00
The Falconer,Y,M010,7.0,6.0,"Figure H: 12' W: 2'6"" D: 3'10""; Pedestal H: 4'7""  W: 3'6"" D: 4'5""",Y,
Duke Ellington Memorial,Y,M010,7.0,6.0,"Ellington figure H: 8'; each caryatid H: 4'; each triform column H: 10'; sculpture total H: 25'; upper plaque H: 5"" W: 10""; lower plaque H: 2¼"" W: 7½""",Y,"Approximately $1,000,000"
Robert Skirving Pirie,Y,M010,7.0,6.0,"Plaque H: 7"" W: 10"", Base H: 12"" W""15""",Y,
"Orr, Angelique V.",Y,M010,7.0,6.0,,N,
Chinese Religion,O,B048,9.0,35.0,,Y,
Roman Statesman,O,B048,9.0,35.0,,Y,
Port Richmond High School Plaque,N,,0.0,3.0,,Y,
Neptune Figure,Y,R116,1.0,49.0,,Y,
William Cullen Bryant,Y,M010,7.0,6.0,"h 3'11"" x w 2'8¼"" x d 1'11""",L,
College of the City of New York,O,,9.0,7.0,,Y,
Delacorte Clock,Y,M010,7.0,6.0,"H: 18'6"" W: 23'4"" D: 5'9""; Each plaque H: 7"" W: 9""",Y,
American Museum of Natural History Plaque,O,M053,7.0,6.0,,M,
spanish war memorial,N,,1.0,17.0,,Y,
Eagles,Y,M010,7.0,6.0,"H: 4'10"" W: 5'2"" D: 2'1""",Y,
richmond hill high school,N,,0.0,0.0,,Y,
"graham, david",N,,1.0,1.0,,Y,
Christopher Columbus,Y,M010,7.0,6.0,"Figure H: 7""; Pedestal H: 8' W: 8' D: 8'",Y,
Bird Flying Machine,Y,M010,7.0,6.0,"Figure H: 2'9"" W: 4'; weight: 130 pounds",Y,
Persian Philosophy,O,B048,9.0,35.0,,Y,
Titanic Memorial Lighthouse,N,,1.0,1.0,,Y,
Waldo Hutchins,Y,M010,7.0,6.0,"H: 3'7"" W: 27'3"" D:16'4""",Y,
Frederick H.A. Von Humboldt,O,M053,7.0,6.0,,Y,
Comptroller,N,,1.0,1.0,,Y,
"washington, george murray's whay",N,,1.0,1.0,"3'6""h x 2'6""w",N,
japanese art,O,B048,9.0,35.0,,Y,
Beacon,Y,B432,10.0,43.0,H: 25'; Circumference at base: 8',Y,
Samuel Finley Breese Morse,Y,M010,7.0,6.0,"H: 13' W: 5'6"" D: 5'",Y,
Women's Rights Pioneers Monument,Y,M010,7.0,6.0,"Group: 9'4""H x 11'4""'W x 6'10""D; Pedestal: 4'8""H x 11'8""W x 7'2""D",Y,
greek science,O,B048,9.0,35.0,,Y,
Seventy Second Street Playground,Y,M010,7.0,6.0,"H: 10"" W: 10""",Y,
Hebrew Law,O,B048,9.0,35.0,,Y,"$3,000"
Still Hunt,Y,M010,7.0,6.0,"H: 2'7"" L: l 5'",Y,
Simon Bolivar Monument,Y,M010,7.0,6.0,"Statue H: 13'6"" L: 13'; Pedestal H: 20'4"" L: 12'6"" W: 6'1""",Y,
"Webb, Alexander Stewart",N,,9.0,7.0,"13'6""h x 4'w x 5'd",Y,
Elections,N,,1.0,1.0,,Y,
Drinking Fountain,Y,M010,7.0,6.0,,Y,
Doris C. Freedman Plaza Plaque,Y,M010,7.0,6.0,"1'4"" x 1'9""",Y,"$1,200"
public school #5,N,,0.0,0.0,,Y,
roman emperor,O,B048,9.0,35.0,,Y,
William T. Stead Memorial,Y,M010,7.0,6.0,"Plaque H: 4' W: 5'; stele  H: 7'2"" W: 6'",Y,$1600
Chinese Law,O,B048,9.0,35.0,,Y,
Naturalists Gate,Y,M010,7.0,6.0,,Y,
Giuseppe Mazzini,Y,M010,7.0,6.0,"H: 14'1"" W: 3'10"" D: 3'10""",Y,
public school #114,N,,1.0,1.0,,Y,
"Wood, James Rushmore",N,,6.0,4.0,,Y,
summer,N,,5.0,2.0,,Y,
Lions,O,X002,14.0,12.0,,Y,
public school #129,N,,0.0,0.0,,Y,
Fort  Greene Park Cannons,Y,B032,2.0,35.0,,Y,
Tigress and Cubs,Y,M010,7.0,6.0,"6'3""h x 3'w x 8'6""",Y,
Literary Walk Restoration Marker,Y,M010,7.0,6.0,"L: 18'10"" W: 12'5"" (total)",Y,
Fred Lebow,Y,M010,7.0,6.0,,Y,
Frederick Douglass Memorial,Y,M010,7.0,6.0,,Y,
Mrs. Henry C. Russell ASPCA Horse Trough,Y,M010,,6.0,,Y,
"jefferson, thomas",N,,9.0,7.0,,Y,
Johann Christoph Friedrich Von Schiller,Y,M010,7.0,6.0,,Y,
Queens County Farm Museum Landmark Plaque,O,,13.0,23.0,"plaque h 1'7"" x w 1'10""; rock h 2'11"" x w 4'8"" x d 8""",Y,
Bolivar Plaza Plaque,Y,M010,7.0,6.0,H: 1' W: 2',Y,
Edward L. Swanstrom,N,B113C,2.0,33.0,"38 ½""h x 57 ½""w",Y,
Macaque and Orang-outang,O,M010,7.0,6.0,,Y,
Indian Law Giver,O,B048,9.0,35.0,,Y,"$3,000"
Cormorants,O,M010,7.0,6.0,,Y,
public school #11,N,,0.0,0.0,,Y,
Michael Friedsam Memorial,Y,M010,7.0,6.0,"H: 1'4 ½"" W: 3'",Y,
Lions,O,M010,7.0,6.0,,Y,
Charles B. Stover,Y,M010,7.0,6.0,"H: 3'10"" W: 20' D: 13'",Y,
Evacuation Day Plaque,Y,M007,1.0,1.0,,Y,
Boys High School Plaque,N,,3.0,36.0,,Y,
Group of Bears,Y,M010,7.0,6.0,"Group H: 7'4"" W: 6' D: 4'8""; Pedestal H: 1'  Diameter: 20'; Plaque H: 1'4"" W: 9""; Weight: 1,500 pounds",Y,
Rudolph B. Taylor Plaque,Y,M010,7.0,6.0,"6""h x 8""w",Y,
Rocky Mountain Sheep,O,M010,7.0,6.0,,Y,
Sergeant Joyce Kilmer,Y,M010,7.0,6.0,"Plaque H: 8"" W: 10""; Plinth H: 1'1"" W: 1'3"" D: 6""",Y,
"Chidwick, Rt. Rev. Msgr. John P.",Y,M010,7.0,6.0,"1'1""h x 1'5""w",Y,
Dancing Goat,Y,M010,7.0,6.0,"H: 6'6""",Y,
Tigers,O,M010,7.0,6.0,,Y,
Chimpanzee,O,M010,7.0,6.0,,Y,
Verrazzano Bridge Engineering Memorial,Y,B035,10.0,43.0,,L,
Honey Bear,Y,M010,7.0,6.0,"H: 6'6""",Y,
County Court House,N,M030B,1.0,1.0,,Y,
Ponies,O,M010,7.0,6.0,,Y,
Ericsson Tablet,Y,,0.0,0.0,,M,
Brownsville Boys Club,Y,B270,16.0,42.0,,M,
Printing,N,,0.0,0.0,,Y,
Brooklyn Bridge Tablets,N,,2.0,33.0,,Y,
progress,N,,1.0,1.0,"9'diam,",Y,
Alexander Hamilton,Y,M010,7.0,6.0,"Total H: 15'5"" W: 7'10"" D: 7'10""",Y,
"Louis Valentino, Jr. Memorial",Y,B019,6.0,39.0,,Y,
Navigation,N,,1.0,1.0,,Y,
Cape Coral Roses,Y,M010,7.0,6.0,"H: 5"" W: 11""",M,
"williams, addie d",N,,5.0,37.0,,Y,
lycurgus,N,,5.0,2.0,,Y,
Rose Garden Stairway,O,X002,14.0,12.0,"H: 11¾"" W: 18 ¼"" D:¾""d",Y,150.00
Murray Kaye,Y,M010,7.0,6.0,see memo,M,
Dover Patrol,Y,B035,10.0,43.0,"H: 75' W: 21'6"" D: 21'6""",Y,
Gorilla,O,M010,7.0,6.0,,Y,
Ginny,O,M010,7.0,6.0,"H: 9"" W: 20"" D: ½""",M,
Victor Herbert,Y,M010,7.0,6.0,"Total H: 11'7"" W: 4'8"" D: 4'3""",Y,
Park Employees Memorial,Y,M010,7.0,6.0,"H: 1'9"" W: 2'3""",N,200.00
Sir Walter Scott,Y,M010,7.0,6.0,"H: 18' W: 13'6"" D: 5'6""",Y,15000.00
Urns - central park (4),Y,M010,7.0,6.0,"6'1""h",Y,
Wien Walk Plaques,Y,M010,7.0,6.0,"H: 11"" W: 1'4""",Y,"approximately $1,000;"
Bethesda Fountain,Y,M010,7.0,6.0,H: 25'; Diameter of lower basin 15'; Diameter of pool 96',Y,53945.00
Seal of the State of New York (aka Excelsior),Y,M010,7.0,6.0,"Eagle h 2'10½"" x l 3' x w 4""; each figure h 2'3½"" x l 11½"" x w 4"", 58"" across (attached to stone)",Y,
Kwanzan Prunus,Y,M010,7.0,6.0,,M,
Thomas Moore,Y,M010,7.0,6.0,"Overall H: 12' 9"" W: 4'9"" D: 4'9""",Y,
Central Park Gates List,Y,M010,7.0,6.0,,N,
"Library, New York Public",N,,0.0,0.0,,Y,
Pelicans,O,X002,14.0,12.0,,Y,
Imagine,Y,M010,7.0,6.0,"Circumference: 34'3"" (approximate)",Y,
Study,N,,1.0,1.0,,Y,
Alan Lomax Tablet,Y,M010,7.0,6.0,,Y,
William Shakespeare,Y,M010,7.0,6.0,"H: 17'11"" W: 8' D: 8'",Y,20000.00
Alice Hochstader & Edward A. Kerbs,Y,M010,7.0,6.0,"H: 1'5"" W: 1'9""",Y,
Atlantic Avenue Plaque,Y,,0.0,0.0,,M,
"goldie, sarah",N,,8.0,5.0,,Y,
Soroptimist Plaque,Y,X092,0.0,11.0,,N,
Rusty,Y,X260,2.0,17.0,"H: 25"" L: 35"" W: 12""",Y,
triumph of justice,N,,4.0,17.0,,Y,
public school #72,N,,0.0,0.0,,Y,
Fort Hamilton D.A.R. Tablet,Y,B035,10.0,43.0,"Tablet H: 20"" W: 30""; Boulder H: 4'10"" W: 9'6"" D: 5'",Y,
Christopher Columbus,Y,M010,7.0,6.0,"Figure H: 7""; Pedestal H: 8' W: 8' D: 8'",Y,
Christopher Columbus,Y,M010,7.0,6.0,"Figure H: 7""; Pedestal H: 8' W: 8' D: 8'",Y,
Vanderbilt Gates,Y,M010,7.0,6.0,,Y,
Lombard Lamp,Y,M010,7.0,6.0,"H: 15'; Weight: 1,320 pounds",Y,
Irving and Estelle Levy Playground Gate,Y,M010,7.0,6.0,,Y,
Wallach Walk Paver,O,M010,7.0,6.0,diameter 2'; total installation diameter 6',Y,
Eagles,Y,M010,7.0,6.0,"H: 4'10"" W: 5'2"" D: 2'1""",Y,
John Purroy Mitchel,Y,M010,7.0,6.0,"H: 12'6"" W: 12'",Y,
The Indian Hunter,Y,M010,7.0,6.0,"H: 10' W: 5' D: 6'3""",Y,
Arsenal Mural,Y,M010,7.0,6.0,"North wall H: 7'½"" W: 20'; East wall H: 21'4½"" W: 33'11""; South wall H: 7'½"" W: 20'; West wall, lobby level H: 12'8"" W: 25' (approximate); West wall, balcony level H:7'6½"" W: 33'11""",Y,
Oscar Ammann Memorial,N,,7.0,19.0,,Y,
Baboon and Mandrill,O,M010,7.0,6.0,,Y,
Deer,O,M010,7.0,6.0,,Y,
"putney, edith n.",N,,7.0,20.0,,Y,
Columbus Monument,Y,M010,7.0,6.0,Total: 76'; Figure H: 13'; Column H: 35'; Pedestal H: 28',Y,
Petroglyph,O,X002,14.0,12.0,H: 3' W: 3' D: 3',Y,
Columbus Monument,Y,M010,7.0,6.0,Total: 76'; Figure H: 13'; Column H: 35'; Pedestal H: 28',Y,
Romeo and Juliet,Y,M010,7.0,6.0,,Y,
New York Custom House,N,,1.0,1.0,,Y,
public school #17,N,,0.0,0.0,,Y,
American Museum of Natural History Tablet,Y,M010,7.0,6.0,"H: 2'6"" W: 1'10""",Y,
Coney Island Boardwalk,Y,B169,13.0,47.0,,M,
Eagles,Y,M010,7.0,6.0,"H: 4'10"" W: 5'2"" D: 2'1""",Y,
Fort Greene Eagles,Y,M010,,6.0,"48"" H x 36""Wx  24"" D",Y,
One Hundred and Sixth Infantry,N,,0.0,0.0,,Y,
McCarren Pool Eagles,Y,B058,1.0,33.0,,Y,
Irish Hunger Monument,Y,R022,1.0,35.0,,Y,
Eagles,Y,M010,7.0,6.0,"H: 4'10"" W: 5'2"" D: 2'1""",Y,
John N. LaCorte Commemorative Sculpture,Y,B035,10.0,43.0,,Y,
"Cheetah, Leopard and Puma",O,M010,7.0,6.0,,Y,
Twenty Third Regiment Memorial,N,,8.0,35.0,,Y,
Marabou,O,M010,7.0,6.0,,Y,
Gettysburg Tablet,N,B113C,2.0,33.0,,Y,
Industrial Art,N,,1.0,1.0,,Y,
Riis Park Clock (wise clock),N,Q049,18.0,46.0,"dials 30""diam; overall ht 20'",Y,
The Tempest (Prospero and Miranda),Y,M010,7.0,6.0,,Y,
Americans Creed,N,,16.0,37.0,,Y,
Coney Island Tablet,Y,B113A,,,,S,
Urns - central park (4),Y,M010,7.0,6.0,"6'1""h",Y,
Mother Goose,Y,M010,7.0,6.0,"H: 8'8"" W: 4'6"" D: 5'10""",Y,
Fourteenth Infantry Regiment Doughboy,N,,4.0,3.0,"pedestal  h 5' x w 2' 6"" x d 4'",Y,
Snow Babies,Y,M010,7.0,6.0,"H: 2'9"" W: 1'11"" D: 1'11""",Y,
Civic Duty,N,,1.0,1.0,,Y,
public school #57,N,,0.0,0.0,,Y,
public school #2,N,,0.0,0.0,,Y,
Balto,Y,M010,7.0,6.0,"Figure W: 4'6"" D: 2'6"";  tablet: H: 2'6¼"" W: 5'; Total H: 9'",Y,"$7,500"
Swans,O,M010,7.0,6.0,,Y,
Orchid Greenhouse,O,X002,14.0,12.0,,Y,
Altman Memorial Fountain,Y,M010,7.0,6.0,,N,
Elizabeth Bigelow Estes,O,X002,14.0,12.0,,Y,
One Hundred and Tenth Street Fountain,Y,M010,7.0,6.0,,N,
Susanne Marie Lewis,Y,M010,7.0,6.0,"H: 3' W: 5' 1 ½"" D: 2'",M,
Loeb Boathouse Plaque,Y,M010,7.0,6.0,"H: 3'1¾"" W: 2'1""",Y,
Fort Hamilton Cannon,Y,B035,10.0,43.0,"18"" bore",Y,
Arthur Brisbane Monument,Y,M010,7.0,6.0,"H: 8' W: 14'10"" D: 2'10""",Y,
Daniel Draper Bust,Y,M010,7.0,6.0,,M,
Christopher Columbus Monument Fountain,Y,M010,7.0,6.0,,N,
Olmsted Tablets,Y,M010,7.0,6.0,"H: 6"" W: 12 ½""",Y,
Broad Channel Memorial Park Flagstaff,Y,Q460,14.0,32.0,,Y,
Dr. James Marion Sims,N,,7.0,6.0,"Figure H: 8'9"" W: 3' D: 2'11""; Pedestal approximate H: 4½' W: 6'9½""; each pier H: 8' W: 3'9"" D: 4'",Y,"$10,000"
Executive Power,N,,1.0,1.0,,Y,
Seventh Regiment Memorial,Y,M010,7.0,6.0,"21'4""h x 10'6""w x 10'6'd",Y,
Richmond Borough Hall,N,,0.0,0.0,,Y,
Autumn,N,,1.0,1.0,,Y,
Louis Fitzgerald,N,,5.0,2.0,"H: 4'3"" W: 4'",Y,
Todd Flagstaff Tablet,Y,B073,0.0,39.0,,N,
public school #10,N,X112,3.0,16.0,"2'9""h x 1'7""w",Y,
Worlds Fair Model 1964,Y,Q099,15.0,21.0,"72""diam, 15""h",L,
Delacorte Geyser,N,,8.0,5.0,h 400 to 600',Y,
Untermyer Fountain,Y,M010,7.0,6.0,"H: 5'7"" Diameter 7'10""",Y,
Sheriff,N,,1.0,1.0,,Y,
Navy Walk Tablet,Y,M010,7.0,6.0,"H: 16"" W: 20""",Y,
public school #13,N,,0.0,0.0,,Y,
American Boy,Y,X039,10.0,13.0,"Figure H: 15'; Plaque H: 2'1"" W: 2'9""",Y,7000.00
Police Headquarters Honor Roll,N,,2.0,1.0,,Y,
Sundial,Y,M010,7.0,6.0,"H: 3'5"" W: 1'x3 ½"" D: 1'3 ½""",Y,
Anna Brett,N,Q338,11.0,19.0,,Y,
"Richard C. Patterson, Jr.",Y,M010,7.0,6.0,"Plinth H: 1' W: 19 1/2"" D: 10 1/4""; Plaque H: 12 1/4"" W: 21 1/2"" D: 1'",M,220.00
Mother and Child,Y,X039,10.0,13.0,,N,
Loeb Memorial Fountain,Y,M010,7.0,6.0,"H: 8'8""  Diameter: 10'9""",Y,
Naumburg Bandshell,Y,M010,7.0,6.0,"Bandshell H: 42' W: 60' D: 33'; Plaque H: 10"" W: 1'4½""",Y,
Commerce,N,,1.0,1.0,,Y,
Riis Park Bath House Tablet,N,Q049,18.0,46.0,"56""h x 32 ½""w",Y,
Richard Morris Hunt Memorial,Y,M010,7.0,6.0,"Total H: 13' W: 31'; Bust H: 2'6""; Figure proper right H: 6'6""; Figure proper left H: 6'7½""",Y,
William Tecumseh Sherman,O,M071,0.0,6.0,"2'6""h",Y,
Henry Clay,N,,1.0,1.0,,Y,
Michael Colombo,Y,X039,10.0,13.0,"H: 23 7/8"" W:17 13/16"" D: 1""",Y,
triumph of government,N,,4.0,17.0,,Y,
Cherry Hill Fountain,Y,M010,7.0,6.0,basin: 20' diameter,Y,
Eagles and Vultures,O,M010,7.0,6.0,,Y,
Indian Philosopher,O,B048,9.0,35.0,,Y,"$3,000"
Andrew Haswell Green,Y,M010,7.0,6.0,"H: 4'11"" W: 12'5"" D: 2'7""",Y,
Hans Christian Andersen,Y,M010,7.0,6.0,"Figure H: 9'6"" W: 6'1"" D: 6'2""; Bench H: 3'3"" W: 21'2"" D: 17'4""; Cygnet figure H: 1'10½""",Y,"$73,585 (estimated)"
"Cunningham, Mary",N,,0.0,0.0,,Y,
Wollman Portrait,Y,M010,7.0,6.0,"Approx. H: 35.5"" W: 29.5""; 45"" by 36.75"" (framed)",Y,
public school #42,N,,0.0,0.0,,Y,
Carroll Park Memorial,Y,B019,6.0,39.0,"Total H: 18' W: 10'5"" D: 8'6""; Bas-reliefs H: 10'10"" W: 4' (approximate)",Y,
Lillie Deverux Blake,N,,0.0,0.0,,M,
public school #9,N,,0.0,0.0,,Y,
"Dillingham, James D.",N,,7.0,20.0,,Y,
Claremont Park Tablet,Y,X008,4.0,14.0,"H: 36"" W: 24¾"" D: 1""",N,
public school #27,N,,0.0,0.0,,Y,
Childhood,N,,1.0,1.0,,Y,
greek oratory,O,B048,9.0,35.0,,Y,
"Macpherson, James Birdseye",O,M071,0.0,9.0,"2'6""",Y,
Isham,N,M010,7.0,6.0,,Y,
Sophocles,Y,Q436,1.0,22.0,Figure: H: 7.5'; Pedestal: H: 2',Y,
Sgt. Alvin Shleman,Y,X008,4.0,14.0,"4""h x 9""w; base 7""h x 9""w",M,
prudence,N,,1.0,1.0,9'diam,Y,
public school #35,N,,0.0,0.0,,Y,
Corrections,N,,1.0,1.0,,Y,
Split Rock Golf Course Murals,Y,X039,10.0,12.0,"2 panels each 10' 11"" x 96""",Y,
Cockatoos and Ara,O,M010,7.0,6.0,,Y,
Elliman,Y,,0.0,0.0,,M,
U.S.S. Maine National Monument,Y,M010,7.0,6.0,"Total H: 63' L: 74' W: 55'; Pylon face W: 17'9"" at bottom, 15' at top; side, W: 15'6"" at bottom, 13' at top; Base L 21'6"" W: 19'; Colossal group H: 20'; Large plaques H: 1'1"" W: 1'3""; Small plaque H: 6"" W: 10""; Each gate house H: 12'6"" L: 9' W: 9'",Y,"$165,000"
Clinton High School World War Memorial,N,,8.0,11.0,,Y,
justice,N,,1.0,1.0,,Y,
Eagles,Y,M010,7.0,6.0,"H: 4'10"" W: 5'2"" D: 2'1""",Y,
William F. Havemeyer,O,M013,1.0,1.0,life size,Y,
George Henry Thomas,O,M071,0.0,9.0,"2'6""h",Y,
Erasmus Hall High School,N,,14.0,40.0,,Y,
Arthur Young,Y,M010,7.0,6.0,"pl: 10""hx8""w, tabl 14""hx12""w",M,
greek dramatic art,O,B048,9.0,35.0,,Y,
Alice in Wonderland,Y,M010,7.0,6.0,"Group H: 9'7"" D: 14'6""; Plinth H: 1'  Diameter: 34'; Esplanade Diameter: 67'; Seven bronze tablets each H: 1'9"" W: 4'",Y,
John Paul Jones,Y,B035,10.0,43.0,flagstaff was mast-uss daniel,Y,
"kings bridge, the",N,,0.0,0.0,,M,
Sound View Cannon,Y,X015,2.0,17.0,,N,
Conference Hall,Y,R030,2.0,50.0,,N,
James A. Sherry Plaque,Y,M010,7.0,6.0,"H: 10½"" W: 1'5""",Y,
public school #37,N,,0.0,0.0,,Y,
Martin Birdbath,Y,M010,7.0,6.0,"H: 5'6""",Y,
Eagles,Y,M010,7.0,6.0,"H: 4'10"" W: 5'2"" D: 2'1""",Y,
King Wladyslaw Jagiello,Y,M010,7.0,6.0,"Figure H: 14'8""; Pedestal H: 10' W: 7'6"" D: 11' 10""; Base D: 7'6""- 13'10""; Terrace W: 37' D: 43'",Y,
Isaac L. Rice,Y,,9.0,35.0,"H: 2' 7/8"" W: 1'1½"" D: 1'",L,"$5,000"
San Martin Tablet,Y,M010,7.0,6.0,"H: 10"" W: 15""",Y,
Rice Memorial Flagstaff Pedestals,Y,X039,10.0,13.0,,M,
"Brice, Margaret J.",N,,2.0,32.0,,Y,
Clinton L. Bagg,N,,8.0,5.0,,Y,
Cupids with Garland,N,,1.0,1.0,,Y,
Richard Saunders Scott,Y,M010,7.0,6.0,"H: 7"" W: 10""",Y,
